,TIME,RATE,ERROR,FRACEXP
0,118022400.44376001,56.586166,7.5223775,1.0
1,118022401.44376001,75.02865,8.661908,1.0
2,118022402.44376001,67.52199,8.217176,1.0
3,118022403.44376001,81.25248,9.014016,1.0
4,118022404.44376001,79.532425,8.918096,1.0
5,118022405.44376001,77.37406,8.796252,1.0
6,118022406.44376001,77.34502,8.794601,1.0
7,118022407.44376001,70.27271,8.382882,1.0
8,118022408.44376001,81.94259,9.052215,1.0
9,118022409.44376001,75.475586,8.687669,1.0
10,118022410.44376001,73.9911,8.601808,1.0
11,118022411.44376001,81.798096,9.0442295,1.0
12,118022412.44376001,73.76546,8.588682,1.0
13,118022413.44376001,67.99081,8.245654,1.0
14,118022414.44376001,87.11954,9.333785,1.0
15,118022415.44376001,79.77601,8.931742,1.0
16,118022416.44376001,96.013794,9.798663,1.0
17,118022417.44376001,77.51026,8.803991,1.0
18,118022418.44376001,81.033554,9.0018635,1.0
19,118022419.44376001,69.37218,8.328996,1.0
20,118022420.44376001,75.07387,8.664517,1.0
21,118022421.44376001,86.64786,9.308483,1.0
22,118022422.44376001,49.14674,7.0104737,1.0
23,118022423.44376001,75.986,8.716995,1.0
24,118022424.44376001,86.83163,9.318349,1.0
25,118022425.44376001,84.63567,9.199765,1.0
26,118022426.44376001,77.57187,8.807489,1.0
27,118022427.44376001,82.15463,9.063919,1.0
28,118022428.44376001,80.48266,8.971212,1.0
29,118022429.44376001,72.444786,8.511451,1.0
30,118022430.44376001,73.933105,8.598436,1.0
31,118022431.44376001,72.69082,8.525891,1.0
32,118022432.44376001,56.41831,7.5112123,1.0
33,118022433.44376001,89.43586,9.457053,1.0
34,118022434.44376001,62.948402,7.934003,1.0
35,118022435.44376001,68.84261,8.297145,1.0
36,118022436.44376001,86.38062,9.294118,1.0
37,118022437.44376001,56.303448,7.5035625,1.0
38,118022438.44376001,70.16343,8.376361,1.0
39,118022439.44376001,57.635056,7.5917754,1.0
40,118022440.44376001,69.184906,8.317746,1.0
41,118022441.44376001,79.67015,8.925814,1.0
42,118022442.44376001,74.755646,8.646134,1.0
43,118022443.44376001,89.26149,9.44783,1.0
44,118022444.44376001,72.76658,8.530333,1.0
45,118022445.44376001,77.46711,8.80154,1.0
46,118022446.44376001,78.50442,8.860271,1.0
47,118022447.44376001,91.51952,9.566584,1.0
48,118022448.44376001,100.81508,10.040671,1.0
49,118022449.44376001,85.505295,9.246907,1.0
50,118022450.44376001,72.46268,8.512501,1.0
51,118022451.44376001,63.475426,7.967147,1.0
52,118022452.44376001,75.873116,8.710518,1.0
53,118022453.44376001,69.09098,8.3120985,1.0
54,118022454.44376001,77.497154,8.8032465,1.0
55,118022455.44376001,60.98125,7.809049,1.0
56,118022456.44376001,66.78299,8.172086,1.0
57,118022457.44376001,77.26826,8.790236,1.0
58,118022458.44376001,75.81735,8.707316,1.0
59,118022459.44376001,70.60616,8.402747,1.0
60,118022460.44376001,52.818436,7.267629,1.0
61,118022461.44376001,61.13063,7.818608,1.0
62,118022462.44376001,76.175125,8.727837,1.0
63,118022463.44376001,79.85795,8.936327,1.0
64,118022464.44376001,67.02222,8.186709,1.0
65,118022465.44376001,64.46549,8.02904,1.0
66,118022466.44376001,72.75292,8.529532,1.0
67,118022467.44376001,76.39204,8.740253,1.0
68,118022468.44376001,71.38623,8.449038,1.0
69,118022469.44376001,71.543274,8.458325,1.0
70,118022470.44376001,76.448814,8.743502,1.0
71,118022471.44376001,57.145832,7.5594864,1.0
72,118022472.44376001,91.469864,9.563988,1.0
73,118022473.44376001,69.10293,8.312818,1.0
74,118022474.44376001,72.81207,8.532999,1.0
75,118022475.44376001,90.10829,9.492538,1.0
76,118022476.44376001,67.87689,8.238744,1.0
77,118022477.44376001,74.395645,8.625291,1.0
78,118022478.44376001,72.7145,8.52728,1.0
79,118022479.44376001,79.90999,8.939239,1.0
80,118022480.44376001,73.97304,8.600758,1.0
81,118022481.44376001,77.198204,8.786251,1.0
82,118022482.44376001,77.28084,8.790952,1.0
83,118022483.44376001,83.49868,9.137761,1.0
84,118022484.44376001,62.054386,7.8774605,1.0
85,118022485.44376001,64.26958,8.01683,1.0
86,118022486.44376001,73.71234,8.585589,1.0
87,118022487.44376001,69.20428,8.318911,1.0
88,118022488.44376001,73.837776,8.592891,1.0
89,118022489.44376001,80.94758,8.9970875,1.0
90,118022490.44376001,66.57633,8.159432,1.0
91,118022491.44376001,65.75526,8.108961,1.0
92,118022492.44376001,101.90675,10.094888,1.0
93,118022493.44376001,75.29804,8.677444,1.0
94,118022494.44376001,71.341194,8.446372,1.0
95,118022495.44376001,79.61285,8.922603,1.0
96,118022496.44376001,52.83561,7.2688107,1.0
97,118022497.44376001,77.36544,8.795763,1.0
98,118022498.44376001,81.08875,9.00493,1.0
99,118022499.44376001,68.18702,8.257544,1.0
100,118022500.44376001,74.81537,8.649588,1.0
101,118022501.44376001,77.392975,8.797328,1.0
102,118022502.44376001,64.43482,8.02713,1.0
103,118022503.44376001,60.98369,7.8092055,1.0
104,118022504.44376001,81.8693,9.048165,1.0
105,118022505.44376001,83.38978,9.131801,1.0
106,118022506.44376001,84.5641,9.195874,1.0
107,118022507.44376001,70.01596,8.367554,1.0
108,118022508.44376001,62.803616,7.9248734,1.0
109,118022509.44376001,82.51744,9.083911,1.0
110,118022510.44376001,77.573296,8.80757,1.0
111,118022511.44376001,77.11906,8.781746,1.0
112,118022512.44376001,61.22054,7.8243556,1.0
113,118022513.44376001,71.62435,8.463118,1.0
114,118022514.44376001,80.76324,8.986836,1.0
115,118022515.44376001,68.134125,8.25434,1.0
116,118022516.44376001,73.78156,8.58962,1.0
117,118022517.44376001,71.4964,8.455554,1.0
118,118022518.44376001,48.179585,6.9411516,1.0
119,118022519.44376001,80.75877,8.9865885,1.0
120,118022520.44376001,52.654022,7.256309,1.0
121,118022521.44376001,77.72482,8.816168,1.0
122,118022522.44376001,86.44912,9.297802,1.0
123,118022523.44376001,69.17165,8.31695,1.0
124,118022524.44376001,73.79635,8.59048,1.0
125,118022525.44376001,73.34091,8.5639305,1.0
126,118022526.44376001,83.363846,9.130381,1.0
127,118022527.44376001,56.290745,7.502716,1.0
128,118022528.44376001,91.53013,9.567138,1.0
129,118022529.44376001,75.048645,8.663062,1.0
130,118022530.44376001,65.786705,8.1109,1.0
131,118022531.44376001,65.72658,8.107193,1.0
132,118022532.44376001,95.08268,9.751035,1.0
133,118022533.44376001,93.85112,9.687678,1.0
134,118022534.44376001,90.38218,9.506954,1.0
135,118022535.44376001,76.27936,8.733806,1.0
136,118022536.44376001,60.85383,7.800886,1.0
137,118022537.44376001,71.49284,8.455344,1.0
138,118022538.44376001,82.08864,9.060278,1.0
139,118022539.44376001,57.61014,7.5901346,1.0
140,118022540.44376001,55.0586,7.4201484,1.0
141,118022541.44376001,70.52498,8.397915,1.0
142,118022542.44376001,64.60215,8.037546,1.0
143,118022543.44376001,76.25614,8.732476,1.0
144,118022544.44376001,80.01788,8.9452715,1.0
145,118022545.44376001,67.74515,8.230744,1.0
146,118022546.44376001,63.2496,7.9529614,1.0
147,118022547.44376001,80.658035,8.980982,1.0
